URL,Title,Company,Industry,Size,Posted at,Location,Job Type,Experience Required,Responsibilities,Requirements,Skills Required,Raw Details,Scraped at
https://www.techinasia.com/jobs/5ae5dd38-934c-4cf9-8ff4-40a6e24c92c9,Data Analyst,Cicil,"Lending, loans, and credit",51 – 200,Date created: 9 Nov 2021,"Jakarta, Indonesia",Full-time,1 to 4 years,"['Business Analyst - ORAMI SIRCLOTangerang, Indonesia 15 Sep 2021', 'Data Validation Support (Part-time)KulinaYogyakarta, IndonesiaIDR 1,500,000 1 Oct 2021', 'Data Engineer InternSIRCLOTangerang, Indonesia 11 Oct 2021', 'Head of DataSTRONGBEEJakarta, IndonesiaIDR 10,000,000 – 25,000,000 with equity 5 Oct 2021', 'Data Analyst (Placement : Batu Kajang)PT Xapiens Teknologi IndonesiaIndonesia Bulk Terminal, Indonesia 5 Oct 2021']","['Business Analyst - ORAMI SIRCLOTangerang, Indonesia 15 Sep 2021', 'Data Validation Support (Part-time)KulinaYogyakarta, IndonesiaIDR 1,500,000 1 Oct 2021', 'Data Engineer InternSIRCLOTangerang, Indonesia 11 Oct 2021', 'Head of DataSTRONGBEEJakarta, IndonesiaIDR 10,000,000 – 25,000,000 with equity 5 Oct 2021', 'Data Analyst (Placement : Batu Kajang)PT Xapiens Teknologi IndonesiaIndonesia Bulk Terminal, Indonesia 5 Oct 2021']","['Python', 'SQL', 'R']","<div class=""jsx-3475296548""><ul><li>Analyze data using statistical techniques to drive optimization and improvement of product development and business strategies</li>
<li>Work with stakeholders to determine business objectives</li>
<li>Develop analytics report and visualization to gather insight for our business   </li>
</ul>
<p>Requirements:</p>
<ul><li>Bachelor's Degree in Statistics/Mathematics/Computer Science or another quantitative fields </li>
<li>Have strong analytical thinking</li>
<li>Comfortable in writing SQL query is a must</li>
<li>Experience with BI Tools such as Power BI, Tableau is a plus</li>
<li>Experience with Python or R is a plus</li>
</ul>
<p><br/></p></div>",2021-11-10 13:46:57.061589
https://www.techinasia.com/jobs/4796d0b2-d056-456e-a9ee-e9050fd13e1a,Data Analyst,Aruna,Retail (food),51 – 200,Date created: 8 Nov 2021,"Jakarta, Indonesia",Full-time,1 to 4 years,"['Data EngineerRuangguru.comJakarta, Indonesia 27 Oct 2021', 'Associate Trade MarketerSIRCLOTangerang, Indonesia 14 Oct 2021', 'Business Analyst (CompareHero)Hyphen GroupKuala Lumpur, MalaysiaMYR 5,000 – 7,000 16 Sep 2021', 'Data AdministratorHypefastJakarta, Indonesia 26 Oct 2021', 'Data EngineerLiv.itDenpasar, Bali, Indonesia 4 Oct 2021']","['Data EngineerRuangguru.comJakarta, Indonesia 27 Oct 2021', 'Associate Trade MarketerSIRCLOTangerang, Indonesia 14 Oct 2021', 'Business Analyst (CompareHero)Hyphen GroupKuala Lumpur, MalaysiaMYR 5,000 – 7,000 16 Sep 2021', 'Data AdministratorHypefastJakarta, Indonesia 26 Oct 2021', 'Data EngineerLiv.itDenpasar, Bali, Indonesia 4 Oct 2021']","['Analytics', 'Data Science', 'Data Analysis']","<div class=""jsx-3475296548""><p><strong>Job Description:</strong></p>
<p>Develop a deep understanding of ecosystems growth and user behavior with data to find opportunities that can influence product development and strategy, with details :<br/>
 - Build data reports / dashboards to monitor developed products<br/>
 - Plan iteration based on monitored data<br/>
 - Develop ad-hoc queries to support operational process<br/>
 - Increase co-workers data literacy by training on new reports/dashboards, being a strategic partners, and providing technical expertise on data storage structures and data cleansing<br/>
 - Manage and design the reporting and analysis environment, including data sources, data warehouse, interface, and contents</p>
<p><strong>Requirements:</strong></p>
<p>- Bachelor's degree in Engineering, Mathematics, Statistics, Operation Research, or other related disciplines<br/>
 - Have at least 2 years of experience in data related fields<br/>
 - Proficients in SQL, spreadsheets, and statistical software package<br/>
 - Excellent in Statistics/Math<br/>
 - Familiar with ETL (Extract, Transform, Load) process<br/>
 - Familiar with Bigquery, Redash or Data Studio<br/>
 - Good Understanding of product life cycle and development cycle<br/>
 - Great data manipulation skills<br/>
 - Able to communicate and ask questions effectively<br/>
 - Detail oriented, analytical and curios<br/>
 - Ability to work independently and with others<br/>
 - Problem Solving and Critical Thinking</p>
<p><br/></p></div>",2021-11-10 13:46:59.328656
https://www.techinasia.com/jobs/5fa7c12f-6906-4613-9378-a1d119a81d84,Data Analyst (Mid),Bobobox Indonesia,Hotels & Accomodation,51 – 200,Date created: 5 Nov 2021,"Bandung, Java, Indonesia",Full-time,1 to 4 years,"['Processing confidential data and information according to guidelines.', 'Helping develop reports and analysis.', 'Managing and designing the reporting environment, including data sources, security, and metadata.', 'Supporting the data warehouse in identifying and revising reporting requirements.', 'Supporting initiatives for data integrity and normalization.', 'Evaluating changes and updates to source production systems.', 'Training end-users on new reports and dashboards.', 'Providing technical expertise in data storage structures, data mining, and data cleansing.']","['Minimum 2 year work experience as a data analyst or in a related field.', 'Ability to work with stakeholders to assess potential risks.', 'Ability to analyze existing tools and databases and provide software solution recommendations.', 'Ability to translate business requirements into non-technical, lay terms.', 'High-level experience in methodologies and processes for managing large-scale databases.', 'Demonstrated experience in handling large data sets and relational databases.', 'Understanding of addressing and metadata standards.', 'High-level written and verbal communication skills.']","['Data Analysis', 'Big Data', 'Databases']","<div class=""jsx-3475296548""><p><em>Founded in 2018, Bobobox is on a mission to redefine sleeping facilities to improve everyone’s lifestyle in the fast-changing world. What motivates our team the most is the ability to provide the most affordable and personalized pod at the most convenient distance for everyone to get a high-quality rest and sleep with a continuously improved experience. We believe in a culture of high trust, helping others, and healthy communication. </em></p>
<p><br/></p>
<p><strong>Responsibilities</strong></p>
<ol><li>Processing confidential data and information according to guidelines.</li>
<li>Helping develop reports and analysis.</li>
<li>Managing and designing the reporting environment, including data sources, security, and metadata.</li>
<li>Supporting the data warehouse in identifying and revising reporting requirements.</li>
<li>Supporting initiatives for data integrity and normalization.</li>
<li>Evaluating changes and updates to source production systems.</li>
<li>Training end-users on new reports and dashboards.</li>
<li>Providing technical expertise in data storage structures, data mining, and data cleansing.</li>
</ol>
<p><strong>Requirements:</strong></p>
<ol><li>Minimum 2 year work experience as a data analyst or in a related field.</li>
<li>Ability to work with stakeholders to assess potential risks.</li>
<li>Ability to analyze existing tools and databases and provide software solution recommendations.</li>
<li>Ability to translate business requirements into non-technical, lay terms.</li>
<li>High-level experience in methodologies and processes for managing large-scale databases.</li>
<li>Demonstrated experience in handling large data sets and relational databases.</li>
<li>Understanding of addressing and metadata standards.</li>
<li>High-level written and verbal communication skills.</li>
</ol>
<p><br/></p></div>",2021-11-10 13:47:03.634318
https://www.techinasia.com/jobs/f57cc1f4-0697-42d1-990d-421359c4381c,Data Analyst,Diary Bunda,Health Care,11 – 50,Date created: 3 Nov 2021,"Jakarta, Indonesia",Freelance,1 to 4 years,"['Enable effective decision making by retrieving, aggregating and cleaning current Diary Bunda user data from multiple sources.', 'Design and maintain data systems and databases. Understand how different user data is collected and correlate to each other.', 'Create custom dashboards and reports that helps Diary Bunda track its KPI’s and empower the business to make strategic and operational decisions.', 'Self-manage delivery of data analysis and insights finding initiatives']","['Enable effective decision making by retrieving, aggregating and cleaning current Diary Bunda user data from multiple sources.', 'Design and maintain data systems and databases. Understand how different user data is collected and correlate to each other.', 'Create custom dashboards and reports that helps Diary Bunda track its KPI’s and empower the business to make strategic and operational decisions.', 'Self-manage delivery of data analysis and insights finding initiatives']","['MySQL', 'Python', 'Business Analysis', 'Data Analysis', 'Data Management', 'Data Visualization']","<div class=""jsx-3475296548""><p><strong>Position Summary</strong></p>
<p>Diary Bunda is in search of a talented and self-driven individual to help drive forward and maintain our ability to collect and analyse data from our platforms, ensuring we keep a competitive edge.</p>
<p>The Data Analyst will enable effective decision making by retrieving and aggregating data from multiple sources and compiling it into actionable format. This role will also be responsible for the development and maintenance of automated reports and dashboards to support project priorities.</p>
<p>The ideal candidate must possess excellent organizational and time-management skills, as well as the ability to multi-task and prioritize responsibilities in a fast-paced environment. They should also be comfortable distilling large volumes of data and navigating complex scenarios.</p>
<p><strong>Responsibilities</strong></p>
<ul><li>Enable effective decision making by retrieving, aggregating and cleaning current Diary Bunda user data from multiple sources.</li>
<li>Design and maintain data systems and databases. Understand how different user data is collected and correlate to each other.</li>
<li>Create custom dashboards and reports that helps Diary Bunda track its KPI’s and empower the business to make strategic and operational decisions.</li>
<li>Self-manage delivery of data analysis and insights finding initiatives</li>
</ul>
<p>         - Define the business problem.</p>
<p>         - Determine the best analytical approach.</p>
<p>         - Efficiently extract relevant data.</p>
<p>         - Appropriately use statistical and data analysis techniques.</p>
<p>         - Share findings using impactful data visualization and efficient communication.</p>
<p>         - Balance multiple priorities, update stakeholders on progress and expected delivery.</p>
<ul><li>Collaborate with business, product and engineering to define the data requirements of a product/new feature launch.</li>
<li>Analyse existing tools and databases and provide software solution recommendations.</li>
</ul>
<p><strong>Requirements</strong></p>
<ul><li>Bachelor's degree in Computer Science, Information Systems, related field or equivalent experience.</li>
<li>Minimum 3 years of working experience as a data analyst.</li>
<li>Expert in SQL and strong experience with a Data Visualization and Reporting tools (e.g. Tableau, Power BI, etc.)</li>
<li>Expert in Microsoft Excel (Macros, Vlookup, Pivot).</li>
<li>Practical knowledge of programming languages (e.g. Python, Shell) and Python/R for statistical analysis and data modelling.</li>
<li>Practical knowledge of Google analytics.</li>
<li>Fluent in written and verbal English.</li>
</ul>
<p><br/></p></div>",2021-11-10 13:47:11.189412
https://www.techinasia.com/jobs/2f12e8ef-60d8-41e9-a134-0fa6067d2614,Data Analyst (Mid),Bobobox Indonesia,Hotels & Accomodation,51 – 200,Date created: 31 Oct 2021,"Bandung, Java, Indonesia",Full-time,1 to 4 years,"['Processing confidential data and information according to guidelines.', 'Helping develop reports and analysis.', 'Managing and designing the reporting environment, including data sources, security, and metadata.', 'Supporting the data warehouse in identifying and revising reporting requirements.', 'Supporting initiatives for data integrity and normalization.', 'Evaluating changes and updates to source production systems.', 'Training end-users on new reports and dashboards.', 'Providing technical expertise in data storage structures, data mining, and data cleansing']","['Minimum 2 year work experience as a data analyst or in a related field.', 'Ability to work with stakeholders to assess potential risks.', 'Ability to analyze existing tools and databases and provide software solution recommendations.', 'Ability to translate business requirements into non-technical, lay terms.', 'High-level experience in methodologies and processes for managing large-scale databases.', 'Demonstrated experience in handling large data sets and relational databases.', 'Understanding of addressing and metadata standards.', 'High-level written and verbal communication skills.', 'Willing to be based in Bandung']","['Data Analysis', 'Microsoft Excel', 'Python', 'Statistics', 'Analytics & Reporting', 'Databases', 'SQL Server', 'Regression Testing', 'Communication Skills', 'Analytical Skills', 'Statistical Analysis']","<div class=""jsx-3475296548""><p><strong>Responsibilities: </strong></p>
<ol><li>Processing confidential data and information according to guidelines.</li>
<li>Helping develop reports and analysis.</li>
<li>Managing and designing the reporting environment, including data sources, security, and metadata.</li>
<li>Supporting the data warehouse in identifying and revising reporting requirements.</li>
<li>Supporting initiatives for data integrity and normalization.</li>
<li>Evaluating changes and updates to source production systems.</li>
<li>Training end-users on new reports and dashboards.</li>
<li>Providing technical expertise in data storage structures, data mining, and data cleansing</li>
</ol>
<p><br/></p>
<p><strong>Requirements: </strong></p>
<ol><li>Minimum 2 year work experience as a data analyst or in a related field.</li>
<li>Ability to work with stakeholders to assess potential risks.</li>
<li>Ability to analyze existing tools and databases and provide software solution recommendations.</li>
<li>Ability to translate business requirements into non-technical, lay terms.</li>
<li>High-level experience in methodologies and processes for managing large-scale databases.</li>
<li>Demonstrated experience in handling large data sets and relational databases.</li>
<li>Understanding of addressing and metadata standards.</li>
<li>High-level written and verbal communication skills.</li>
<li>Willing to be based in Bandung</li>
</ol>
<p><br/></p></div>",2021-11-10 13:47:20.512446
https://www.techinasia.com/jobs/9b9e40a9-40bb-4274-996f-f0e58c8efbdd,Data Analyst ,Payfazz (PT. Payfazz Teknologi Nusantara),Payments and remittance,201 – 500,Date created: 22 Oct 2021,"Jakarta, Indonesia",Full-time,1 to 4 years,"['Collecting, compiling and designing information & data requirements related to particular task/project\xa0', 'Prepare end-to-end data process for all of the data required by CEO Office and Transformation Unit Team. You will collaborate with Data Engineering Team.', 'Create and provide dashboard.', 'Assist CEO Office and Transformation Unit Team to investigate about the anomalous \xa0phenomenon. You will collect all relevant information that can help you in responding to investigations, in collaboration with data analyst in business unit team.', 'Documenting analytics and business requirements related to assigned tasks.']","['Minimum has a Bachelor Degree in Statistics, Mathematics, or Computer Science\xa0', 'Proficient in one of database languages (ex : postgreSQL, mySQL, prestoSQL, etc.)\xa0', 'Proficient in R or python\xa0', 'Has \xa0knowledge on measuring a structured and unstructured variable, and knowledge on basic statistics', 'Experienced in using BigQuery, Tableau or any data platform \xa0is a plus']","['MySQL', 'Statistics', 'Data Science', 'SQL', 'Data Management', 'PostgreSQL', 'Data Analysis']","<div class=""jsx-3475296548""><p><strong>Job Description</strong></p>
<ul><li>Collecting, compiling and designing information &amp; data requirements related to particular task/project </li>
<li>Prepare end-to-end data process for all of the data required by CEO Office and Transformation Unit Team. You will collaborate with Data Engineering Team.</li>
<li>Create and provide dashboard.</li>
<li>Assist CEO Office and Transformation Unit Team to investigate about the anomalous  phenomenon. You will collect all relevant information that can help you in responding to investigations, in collaboration with data analyst in business unit team.</li>
<li>Documenting analytics and business requirements related to assigned tasks.</li>
</ul>
<p><strong>Job Requirements</strong></p>
<ul><li>Minimum has a Bachelor Degree in Statistics, Mathematics, or Computer Science </li>
<li>Proficient in one of database languages (ex : postgreSQL, mySQL, prestoSQL, etc.) </li>
<li>Proficient in R or python </li>
<li>Has  knowledge on measuring a structured and unstructured variable, and knowledge on basic statistics</li>
<li>Experienced in using BigQuery, Tableau or any data platform  is a plus</li>
</ul>
<p><br/></p></div>",2021-11-10 13:47:23.665497
https://www.techinasia.com/jobs/9d2e76c7-46ee-4f5e-8cef-de2214c9f4ee,Data Analyst,detik.com,Digital Media,"501 – 1,000",Date created: 22 Oct 2021,"Jakarta, Indonesia",Full-time,1 to 4 years,"['Importing, cleaning, transforming, validating, or modeling data with the purpose of understanding or making conclusions from the data for decision-making purposes.', 'Presenting data in charts, graphs, tables.', 'Designing and developing data collection and interaction models.']","['Educational background is flexible but we do encourage those from Sociology, Informatics System, \xa0Statistics, \xa0Anthropology, Psychology, Economic Science, or Computer science/engineering majors.', 'Having 2-3 years of experience as a Data Analyst.', 'Experience managing and analyzing data.', 'Data visualization experience.', 'Familiar with digital products and systems.', 'Familiarity with R, \xa0Python data packages, Google Analytics and ComScore is a big plus', 'Can use spreadsheet software with a good understanding of using formulas.', 'Willing to learn.']","['Data Visualization', 'Python', 'Product Management', 'Google Analytics', 'Data Analysis']","<div class=""jsx-3475296548""><p><strong>Job Responsibilities:</strong></p>
<ul><li>Importing, cleaning, transforming, validating, or modeling data with the purpose of understanding or making conclusions from the data for decision-making purposes.</li>
<li>Presenting data in charts, graphs, tables.</li>
<li>Designing and developing data collection and interaction models.</li>
</ul>
<p><strong>Requirements:</strong> </p>
<ol><li>Educational background is flexible but we do encourage those from Sociology, Informatics System,  Statistics,  Anthropology, Psychology, Economic Science, or Computer science/engineering majors.</li>
<li>Having 2-3 years of experience as a Data Analyst.</li>
<li>Experience managing and analyzing data.</li>
<li>Data visualization experience.</li>
<li>Familiar with digital products and systems.</li>
<li>Familiarity with R,  Python data packages, Google Analytics and ComScore is a big plus</li>
<li>Can use spreadsheet software with a good understanding of using formulas.</li>
<li>Willing to learn.</li>
</ol>
<p><br/></p></div>",2021-11-10 13:47:30.628873
https://www.techinasia.com/jobs/b831f2d1-b119-4d09-8e03-c26546f32258,Data Analyst,Sampingan,Social Recruiting,51 – 200,Date created: 15 Oct 2021,"Jakarta, Indonesia",Full-time,1 to 4 years,"['Analyze large, complex datasets to extract insights and decide on the appropriate technique', 'Generate insights for product and business teams through analyzing product performance and user behavior across our range of mobile and web products', 'Partner with data engineers, product team and business team to ensure that data collection and tracking has been correctly implemented, and that data is being stored correctly', 'Manage the infrastructure and data pipelines needed to serve and enable data in Sampingan', 'Provide visualizations to track business performanceWhat you need to have:', 'A Bachelors/Masters degree in Statistics, Mathematics, Computer Science, Engineering, Economics, Business or other analytical fields', 'At least 2 years of experience as an analyst, or in the Business Intelligence or Data Science fields', 'Excellent analytical, communication, and presentation skills to share recommendations clearly and effectively', 'Fluent in all variants of SQL', 'Experience in BigQuery, Metabase, Data Studio and Tableau is preferred', 'Strong contribution in database design and data architecture, data mining and analytics, data security and privacy, and data visualization', 'Proven analytical & problem-solving skills, good attention to detail, high level of curiosity, and structured-thinking process']","['Casual dress code,\xa0', 'Flexible hours,\xa0', 'Fun people to work with\xa0', 'Competitive salary', 'Fast-paced and challenging environment']","['Data Science', 'SQL', 'Tableau']","<div class=""jsx-3475296548""><p>Sampingan is an end to end workforce solution that helps our clients to scale their business through sourcing and managing the workers for them utilizing users that registered in our mobile application. Please find more details about our company <a href=""https://sampingan.co.id/"">here</a> <br/><br/></p>
<p><strong>      What you'll do: </strong></p>
<ul><li>Analyze large, complex datasets to extract insights and decide on the appropriate technique</li>
<li>Generate insights for product and business teams through analyzing product performance and user behavior across our range of mobile and web products</li>
<li>Partner with data engineers, product team and business team to ensure that data collection and tracking has been correctly implemented, and that data is being stored correctly</li>
<li>Manage the infrastructure and data pipelines needed to serve and enable data in Sampingan</li>
<li>Provide visualizations to track business performance<br/><br/><br/><strong>What you need to have:</strong><br/><br/></li>
<li>A Bachelors/Masters degree in Statistics, Mathematics, Computer Science, Engineering, Economics, Business or other analytical fields</li>
<li>At least 2 years of experience as an analyst, or in the Business Intelligence or Data Science fields</li>
<li>Excellent analytical, communication, and presentation skills to share recommendations clearly and effectively</li>
<li>Fluent in all variants of SQL</li>
<li>Experience in BigQuery, Metabase, Data Studio and Tableau is preferred</li>
<li>Strong contribution in database design and data architecture, data mining and analytics, data security and privacy, and data visualization</li>
<li>Proven analytical &amp; problem-solving skills, good attention to detail, high level of curiosity, and structured-thinking process</li>
</ul>
<p><br/></p></div>",2021-11-10 13:47:32.753430
https://www.techinasia.com/jobs/058d7ff1-14a4-4a29-b400-6dc3bd4e3a21,Data Analyst,Tunaiku,"Lending, loans, and credit","1,001 – 5,000",Date created: 11 Oct 2021,"Jakarta, Indonesia",Full-time,1 to 4 years,"['Perform data visualizations to uncover valuable insights, be able to measure and track business performance.', 'Employing best practices to analyze large amounts of data while maintaining intense attention to detail.', 'Conduct research (e.g: A/B Testing) and make recommendations that impact strategic business directions.', 'Work closely with other divisions to solve business problems and Generate meaningful business reports for them.']","[""Preferably Bachelor's Degree in mathematics, computer science, statistics, engineering, and related major"", 'Good communication and presentation skills (Data Storytelling)', 'Passion for learning new things', 'Problem-solving aptitude', 'Proficient in programming languages such as Python, R, SQL, and Data Studio.', 'Keen eyes for detail']","['Data Visualization', 'Python', 'SQL', 'R', 'Data Management', 'Big Data', 'Data Analysis', 'Data Mining']","<div class=""jsx-3475296548""><p><strong>Main Responsibilities</strong></p>
<ul><li>Perform data visualizations to uncover valuable insights, be able to measure and track business performance.</li>
<li>Employing best practices to analyze large amounts of data while maintaining intense attention to detail.</li>
<li>Conduct research (e.g: A/B Testing) and make recommendations that impact strategic business directions.</li>
<li>Work closely with other divisions to solve business problems and Generate meaningful business reports for them.</li>
</ul>
<p><br/></p>
<p><strong>Requirement</strong></p>
<ul><li>Preferably Bachelor's Degree in mathematics, computer science, statistics, engineering, and related major</li>
<li>Good communication and presentation skills (Data Storytelling)</li>
<li>Passion for learning new things</li>
<li>Problem-solving aptitude</li>
<li>Proficient in programming languages such as Python, R, SQL, and Data Studio.</li>
<li>Keen eyes for detail</li>
</ul>
<p><br/></p>
<p><strong>Bonus point if:</strong></p>
<ul><li>Experience in using Google BigQuery and Looker</li>
</ul>
<p><br/></p></div>",2021-11-10 13:47:37.215378
https://www.techinasia.com/jobs/80259777-eb19-41e0-81f5-b54243c76b2b,Data Analyst (P2P),"PT Tani Hub Indonesia (TaniHub, TaniFund)",Agriculture Tech,201 – 500,Date created: 8 Oct 2021,"Jakarta, Indonesia",Full-time,4 to 7 years,"['Senior Data Processing Engineer (Python, Back-end, Remote)LeadbookChennai, IndiaINR 80,000 – 200,000 15 Oct 2021', 'Engineers Development Program (Back End)KoinWorksJakarta, IndonesiaIDR 6,000,000 – 8,000,000 2d ago', 'Product ManagerLion ParcelJakarta, Indonesia 4 Oct 2021', 'QA Manual TesterPayfazz (PT. Payfazz Teknologi Nusantara)Jakarta, Indonesia 28 Sep 2021', 'Senior Data Processing Engineer (Python, Backend, Remote)LeadbookBandung, Java, IndonesiaIDR 20,000,000 – 40,000,000 15 Oct 2021']","['Senior Data Processing Engineer (Python, Back-end, Remote)LeadbookChennai, IndiaINR 80,000 – 200,000 15 Oct 2021', 'Engineers Development Program (Back End)KoinWorksJakarta, IndonesiaIDR 6,000,000 – 8,000,000 2d ago', 'Product ManagerLion ParcelJakarta, Indonesia 4 Oct 2021', 'QA Manual TesterPayfazz (PT. Payfazz Teknologi Nusantara)Jakarta, Indonesia 28 Sep 2021', 'Senior Data Processing Engineer (Python, Backend, Remote)LeadbookBandung, Java, IndonesiaIDR 20,000,000 – 40,000,000 15 Oct 2021']","['Amazon Web Services (AWS)', 'MySQL', 'PostgreSQL', 'MongoDB', 'Tableau', 'Python', 'R']","<div class=""jsx-3475296548""><ul><li>Minimum with 3 years experience as a data analyst</li>
<li>Strong logical to help collect, measure, organize and analyze data</li>
<li>Must have knowledge of programming languages like SQL and TSQL. (Optional) Phyton or R is plus point.</li>
<li>Must have knowledge of data visualization platforms like Metabase, Domo, Redash, Pentaho BI, Google Data Studio, Power BI, &amp; Tableau.</li>
<li>Technical proficiency regarding database design development, data models, techniques for data mining, and segmentation.-Experience in develop ETL (Pentaho Data Integration (PDI), Domo, SSIS, or others) is a plus.</li>
<li>Have good knowledge of database platforms such as Postgre DB, MySQL, MongoDB, &amp; Ms. SQL Server.</li>
<li>Must have experience in GCP/AWS (Mandatory)</li>
</ul>
<p><br/></p></div>",2021-11-10 13:47:41.774924
